Zeit;Kanal A
(ms);(mV)

16,83899989;-2,63348900
16,84399989;-2,44525100
16,84899989;-3,00935000
16,85399989;-2,63348900
16,85899989;-2,44525100
16,86399989;-2,06877400
16,86899989;-2,06877400
16,87399989;-1,88053600
16,87899989;-1,50467500
16,88399989;-0,93996060
16,88899989;-0,37586120
16,89399989;-0,37586120
16,89899989;-0,37586120
16,90399989;-0,18762300
16,90899989;-1,12819900
16,91399989;-0,75233760
16,91899989;-0,37586120
16,92399989;0,00000000
16,92899989;0,00000000
16,93399989;-0,18762300
16,93899989;-0,56409940
16,94399989;0,18762300
16,94899989;-0,18762300
16,95399989;0,56409940
16,95899989;0,18762300
16,96399989;1,31643700
16,96899989;0,75233760
16,97399989;1,50467500
16,97899989;1,50467500
16,98399989;2,06877400
16,98899989;1,12819900
16,99399989;2,63348900
16,99899989;1,88053600
17,00399989;0,75233760
17,00899989;-0,37586120
17,01399989;0,56409940
17,01899989;1,12819900
17,02399989;1,88053600
17,02899989;1,50467500
17,03399989;0,93996060
17,03899989;1,31643700
17,04399989;1,50467500
17,04899989;1,12819900
17,05399989;2,44525100
17,05899989;2,44525100
17,06399989;1,88053600
17,06899989;2,63348900
17,07399989;3,00935000
17,07899989;3,19758800
17,08399989;3,38582700
17,08899988;3,76168800
17,09399988;3,00935000
17,09899988;3,76168800
17,10399988;3,76168800
17,10899988;3,00935000
17,11399988;3,19758800
17,11899988;2,82111200
17,12399988;2,63348900
17,12899988;3,19758800
17,13399988;2,82111200
17,13899988;2,06877400
17,14399988;2,25701300
17,14899988;1,69291300
17,15399988;2,06877400
17,15899988;0,93996060
17,16399988;1,12819900
17,16899988;-2,63348900
17,17399988;1,12819900
17,17899988;0,75233760
17,18399988;1,50467500
17,18899988;1,50467500
17,19399988;0,00000000
17,19899988;0,93996060
17,20399988;0,56409940
17,20899988;-1,12819900
17,21399988;0,93996060
17,21899988;1,88053600
17,22399988;1,50467500
17,22899988;2,44525100
17,23399988;2,06877400
17,23899988;1,88053600
17,24399988;2,44525100
17,24899988;1,88053600
17,25399988;1,31643700
17,25899988;2,44525100
17,26399988;1,88053600
17,26899988;2,06877400
17,27399988;1,88053600
17,27899988;2,06877400
17,28399988;2,06877400
17,28899988;1,12819900
17,29399988;1,50467500
17,29899988;2,25701300
17,30399988;1,88053600
17,30899988;2,06877400
17,31399988;2,82111200
